nome,dieta,habitat,populacao,tipo,velocidade,unidadeMedida,tamanho,especie,alimento
aardonyx,herbivorous,South Africa,84,sauropod,5200000,c,8.0,celestae,Equisetum arvense
abelisaurus,carnivorous,Argentina,99,large theropod,930,h,9.0,comahuensis,abelisaurus
achelousaurus,herbivorous,USA,89,ceratopsian,1500000,c,6.0,horneri,Araucaria araucana
achillobator,carnivorous,Mongolia,99,large theropod,72,k,5.0,giganteus,achillobator
acrocanthosaurus,carnivorous,USA,25,large theropod,6100000,c,12.0,atokensis,achelousaurus
aegyptosaurus,herbivorous,Egypt,93,sauropod,2100000,c,15.0,baharijensis,Phoenix dactylifera
afrovenator,carnivorous,Niger,18,large theropod,8300000,c,9.0,abakensis,afrovenator
agilisaurus,herbivorous,China,82,euornithopod,87,k,1.5,louderbacki,Bambusa vulgaris
alamosaurus,herbivorous,USA,66,sauropod,75,k,21.0,sanjuanensis,Araucaria araucana
albertaceratops,herbivorous,USA,54,ceratopsian,7500000,c,7.0,nesmoi,Araucaria araucana
albertosaurus,carnivorous,Canada,35,large theropod,8800000,c,9.0,libratus,albertosaurus
alectrosaurus,carnivorous,Mongolia,80,large theropod,1000,h,5.0,olseni,achillobator
alioramus,carnivorous,Mongolia,61,large theropod,2400000,c,6.0,remotus,achillobator
allosaurus,carnivorous,USA,41,large theropod,30,h,12.0,fragilis,achelousaurus
alvarezsaurus,carnivorous,Argentina,33,small theropod,2200000,c,2.0,calvoi,alvarezsaurus
amargasaurus,herbivorous,Argentina,68,sauropod,530,h,12.0,cazaui,Metasequoia glyptostroboides
ammosaurus,herbivorous,USA,33,sauropod,2,k,5.0,major,Araucaria araucana
ampelosaurus,herbivorous,France,14,sauropod,8800000,c,15.0,atacis,Quercus robur
amygdalodon,herbivorous,Argentina,21,sauropod,3000000,c,15.0,patagonicus,Metasequoia glyptostroboides
anchiceratops,herbivorous,Canada,48,ceratopsian,3800000,c,6.0,ornatus,Thuja plicata
anchisaurus,herbivorous,USA,20,sauropod,200000,c,2.0,polyzelous,Araucaria araucana
ankylosaurus,herbivorous,USA,8,armoured dinosaur,640,h,7.0,magniventris,Araucaria araucana
anserimimus,carnivorous,Mongolia,7,large theropod,6000000,c,3.5,planinychus,anserimimus
antarctosaurus,herbivorous,Uruguay,67,sauropod,21,k,18.0,wichmannianus,Jubaea chilensis
apatosaurus,herbivorous,USA,17,sauropod,14,k,21.0,ajax,Araucaria araucana
aragosaurus,herbivorous,Spain,33,sauropod,7600000,c,18.0,ischiadicus,Sequoia sempervirens
aralosaurus,herbivorous,Kazakhstan,48,euornithopod,58,k,8.0,tuberiferus,Welwitschia mirabilis
archaeoceratops,herbivorous,China,76,ceratopsian,2200000,c,1.3,oshimai,Bambusa vulgaris
archaeopteryx,carnivorous,Germany,59,small theropod,8900000,c,0.5,lithographica,archaeopteryx
archaeornithomimus,carnivorous,Uzbekistan,86,small theropod,49,k,3.5,asiaticus,archaeornithomimus
argentinosaurus,herbivorous,Argentina,22,sauropod,9100000,c,35.0,huinculensis,Metasequoia glyptostroboides
arrhinoceratops,herbivorous,Canada,30,ceratopsian,59,k,6.0,brachyops,Thuja plicata
atlascopcosaurus,herbivorous,Australia,38,euornithopod,420,h,3.0,loadsi,Dicksonia antarctica
aucasaurus,carnivorous,Argentina,51,large theropod,9200000,c,5.0,garridoi,alvarezsaurus
